"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID",rec_Title,Title,"Given name(s)","Person type","Family name","Boxer Challenged H-ID",Status,Conditions,Basis,"Location Description",City,Location
1222,"Diaz
Keller","Los Sports",1925-06-05,1223,"Diaz, Heriberto",,Heriberto,Boxer,Diaz,1177,,,,,,
1227,"Cepeda
Lagos","Los Sports",1925-06-05,1225,"Cepeda, Luis",,Luis,Boxer,Cepeda,1226,,,"conditions in the Centro Manuel Concha","Centro Manuel Concha",,
1229,"Martínez
Pozo","Los Sports",1925-06-05,1228,"Martínez, Francisco",,Francisco,Boxer,Martínez,530,,,,,,"POINT(-73.116981 -36.724783)"
1230,"Martínez
Pinto","Los Sports",1925-06-05,1228,"Martínez, Francisco",,Francisco,Boxer,Martínez,232,,,,,,"POINT(-73.116981 -36.724783)"
1233,"Parisi
Gomez","Los Sports",1926-04-02,738,"Parisi, Antonino",,Antonino,Boxer,Parisi,1232,"not accepted",,,,,"POINT(-70.669265 -33.44889)"
1234,"Parisi
Cano","Los Sports",1926-04-02,738,"Parisi, Antonino",,Antonino,Boxer,Parisi,539,"not accepted",,,,,"POINT(-70.669265 -33.44889)"
1242,"Rojas
Navarro","Los Sports",1927-01-07,1215,"Rojas, Froilan",,Froilan,Boxer,Rojas,1240,,,"Basis in Los Sports",,,"POINT(-70.669265 -33.44889)"
1246,"Vargas
Arriagada","Los Sports",1927-01-07,1157,"Vargas, Julio",,Julio,Boxer,Vargas,1245,,,,,,"POINT(-70.909988 -34.582309)"
1251,"Laverry
Molina","Los Sports",1927-03-11,1249,"Laverry, Jim",,Jim,Boxer,Laverry,1010,,,,,,"POINT(-70.64658 -33.472148)"
1252,"Laverry
Sánchez","Los Sports",1927-03-11,1249,"Laverry, Jim",,Jim,Boxer,Laverry,1250,,,,,,"POINT(-70.64658 -33.472148)"
1256,"Vargas
Cazzano","Los Sports",1927-05-20,178,"Vargas, Armando",,Armando,Boxer,Vargas,1253,,,,,,"POINT(-70.669265 -33.44889)"
1257,"Lucero
Lasseube","Los Sports",1927-05-20,1255,"Lucero, Luis",,Luis,Boxer,Lucero,146,,,,,,"POINT(-70.669265 -33.44889)"
1260,"Vermar
Ortiz","Los Sports",1927-09-02,1258,"Vermar, Raul",,Raul,Boxer,Vermar,1259,,,,,,
1263,"Soto
Molina","Los Sports",1927-09-30,1262,"Soto, Gerardo",,Gerardo,Boxer,Soto,1261,accepted,,,,,"POINT(-70.669265 -33.44889)"
1265,"Risso
Tobar","Los Sports",1928-01-27,263,"Risso, Manuel",,Manuel,Boxer,Risso,727,,,,,,"POINT(-71.605512 -33.592281)"
1270,"Paiva
Cañas","Los Sports",1928-02-10,1267,"Paiva, Victor M.",,"Victor M.",Boxer,Paiva,1268,,,,,,"POINT(-70.669265 -33.44889)"
1271,"Paiva
Pedraza","Los Sports",1928-02-10,1267,"Paiva, Victor M.",,"Victor M.",Boxer,Paiva,1269,,,,,,"POINT(-70.669265 -33.44889)"
1272,"Coll
Cutiño","Los Sports",1928-02-17,1131,"Coll, Lorenzo",,Lorenzo,Boxer,Coll,660,,,,,,"POINT(-70.669265 -33.44889)"
1273,"Coll
Vera","Los Sports",1928-02-17,1131,"Coll, Lorenzo",,Lorenzo,Boxer,Coll,151,,,,,,"POINT(-70.669265 -33.44889)"
1274,"Coll
Celis","Los Sports",1928-02-17,1131,"Coll, Lorenzo",,Lorenzo,Boxer,Coll,1275,,,,,,"POINT(-70.669265 -33.44889)"
1276,"Parra
Molina","Los Sports",1928-07-27,1012,"Parra, Routier",,Routier,Boxer,Parra,1261,,,,,,
1282,"Galdames
Castellon","Los Sports",1928-12-07,1279,"Galdames, Robinson",,Robinson,Boxer,Galdames,1283,,,,,,"POINT(-70.669265 -33.44889)"
1285,"Duque
Valdes","Los Sports",1925-07-10,1284,"Duque, Oscar",,Oscar,Boxer,Duque,833,,,"Chilean Boxing Federation",,,
1287,"Gonzalez
Ibarra","Los Sports",1925-07-10,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,935,Revenge,,,,,
