"Boxer H-ID",rec_Title,Title,"Given name(s)","Person type","Person type ID","Person type StdCode","Family name"
1160,"Caceres, Andres",,Andres,Boxer,6256,,Caceres
339,"Valenzuela, Oscar",,Oscar,Boxer,6256,,Valenzuela
1162,"Concha, Luis A.",,"Luis A.",Boxer,6256,,Concha
1163,Berbelegua,,,Boxer,6256,,Berbelegua
156,"Duque Rodríguez, José","Champeron of Chile",José,Boxer,6256,,"Duque Rodríguez"
420,"Murray, Willie",,Willie,Boxer,6256,,Murray
1179,"Gazmuri, Rafael",,Rafael,Boxer,6256,,Gazmuri
1172,"Araya, Segundo",,Segundo,Boxer,6256,,Araya
1173,"Mardones, Arturo",,Arturo,Boxer,6256,,Mardones
1171,"Salas, Alfredo",,Alfredo,Boxer,6256,,Salas
1177,"Keller, Pedro",,Pedro,Boxer,6256,,Keller
1190,"Santilly, Atilio",,Atilio,Boxer,6256,,Santilly
1191,"García, Oscar","Isla de Maipo Champion",Oscar,Boxer,6256,,García
1197,"Vásquez, Luis Alberto","Ñuñoa's Champion","Luis Alberto",Boxer,6256,,Vásquez
1198,"Fuenzalida, Humberto",,Humberto,Boxer,6256,,Fuenzalida
1201,"Silva, Filadelfio",,Filadelfio,Boxer,6256,,Silva
1202,"Mella, Alfredo",,Alfredo,Boxer,6256,,Mella
1205,"Saenz, Isidro",,Isidro,Boxer,6256,,Saenz
1206,"Langford, Kid",,Kid,Boxer,6256,,Langford
982,"Bull, John",,John,Amateur,6304,,Bull
1210,"Castro, Juan",,Juan,Boxer,6256,,Castro
1212,"Marchant, Aquiles",,Aquiles,Boxer,6256,,Marchant
1215,"Rojas, Froilan",,Froilan,Boxer,6256,,Rojas
1218,"Fuentes, Angel",,Angel,Boxer,6256,,Fuentes
1219,"Parra, Humberto",,Humberto,Boxer,6256,,Parra
1223,"Diaz, Heriberto",,Heriberto,Boxer,6256,,Diaz
1225,"Cepeda, Luis",,Luis,Boxer,6256,,Cepeda
1226,"Lagos, Luis",,Luis,Boxer,6256,,Lagos
1228,"Martínez, Francisco",,Francisco,Boxer,6256,,Martínez
530,"Pozo, Carlos",,Carlos,Boxer,6256,,Pozo
232,"Pinto, Juan",,Juan,Boxer,6256,,Pinto
738,"Parisi, Antonino",,Antonino,Boxer,6256,,Parisi
1232,"Gomez, Venerando",,Venerando,Boxer,6256,,Gomez
539,"Cano, Gustavo",,Gustavo,Boxer,6256,,Cano
1240,"Navarro, Jorge",,Jorge,Boxer,6256,,Navarro
