"Challenge H-ID",rec_Title,Source,"Source year",Status,Conditions,Basis,"Location Description",City,Location
1343,"Cifuentes
Farias","Semanario La Prensa. Los Andes",1928-02-09,accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1345,"Mac-Conell
Carvajal","Semanario La Prensa. Los Andes",1928-02-09,accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1346,"Valdes
Lemus","Semanario La Prensa. Los Andes",1928-02-09,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1347,"Ortega
Baeza","Semanario La Prensa. Los Andes",1928-02-09,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1348,"Rojas
Huerta","Semanario La Prensa. Los Andes",1928-02-09,,,"answer through this media",,"Los Andes","POINT(-70.598161 -32.833687)"
1349,"Barcelo
Baeza","Semanario La Prensa. Los Andes",1928-02-16,,,,,,
1353,"Rios
Aracena","Semanario La Prensa. Los Andes",1928-02-16,,"whatever the chellenged boxer wishes",,,"San Felipe","POINT(-70.725202 -32.750698)"
1354,"Fuentes
Aracena","Semanario La Prensa. Los Andes",1928-02-16,revancha,,,,"San Felipe","POINT(-70.725202 -32.750698)"
1357,"Mac-Conell
Baeza","Semanario La Prensa. Los Andes",1928-02-26,,"10 rounds",,,"Los Andes",
1358,"Baeza
Badani","Semanario La Prensa. Los Andes",1928-02-26,,"10 rounds",,,"Los Andes",
1360,"Baeza
Valdes","Semanario La Prensa. Los Andes",1928-02-26,,"10 rounds",,,"Los Andes",
1361,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1362,"Araya
Mendoza","Semanario La Prensa. Los Andes",1928-04-05,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1363,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,,,,,"Los Andes",
1364,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,,"conditions with the manager, in Santa Rosa 181",,,"Los Andes",
1365,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928,,,"set basis in Av Independencia 564",,"Los Andes",
