"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID","Boxers challenging RecordTitle","Boxer Challenged H-ID","Boxer Challenged RecordTitle",Status,Conditions,Basis,"Location Description",City,Location
1309,"Osorio
Nuñez","Los Sports",1925-10-09,1304,"Osorio, Carlos",1310,"Nuñez, Rogelio",,,,,,
1311,"Vargas
Contreras","Los Sports",1925-08-14,178,"Vargas, Armando",62,"Contreras, Victor",,"middleweight championship",,,,
1312,"Ortega
Muñoz","Los Sports",1925-08-14,244,"Ortega, Eliecer",1313,"Muñoz, Pablo",,,,,,
1317,"Olguín
Sedan","Los Sports",1925-11-27,647,"Olguín, Humberto",1314,"Sedan, Teofilo",,,,,,
1318,"Molina
Guzman","Los Sports",1925-11-27,1261,"Molina, Alfredo",921,"Guzman, Humberto",,,,,,
1319,"Cutiño
Uzabeaga","Los Sports",1923-05-25,660,"Cutiño, Eduardo",284,"Uzabeaga, Carlos",,,,,,
1322,"Zamora
Roberts","Los Sports",1925-06-21,1236,"Zamora, German",1321,"Roberts, Charles",,,,,Valparaíso,"POINT(-71.631098 -33.040765)"
1327,"Navarro
Jaña","Los Sports",1923-09-28,1324,"Navarro, Alberto",223,"Jaña, Andres",,,,,Santiago,"POINT(-70.650454 -33.437912)"
1329,"Navarro
Calda","Los Sports",1923-09-28,1324,"Navarro, Alberto",1328,"Calda, Victor",,,,,Santiago,"POINT(-70.650454 -33.437912)"
1330,"Vergara
Neira","Los Sports",1923-09-28,1325,"Vergara, Eduardo",1326,"Neira, Carlos",,,,,Santiago,"POINT(-70.650454 -33.437912)"
1331,"Román
Sánchez","Los Sports",1923-11-16,188,"Román, Julio",1250,"Sánchez, Domingo","tie break",,,,,
1334,"Murias
Mery",1923-11-28,"Los Sports",1332,"Murias, Emiliano",594,"Mery, Augusto",,"whatever Mary determines","230 box, Antofagasta",,Antofagasta,"POINT(-70.388546 -23.645295)"
1337,"Aguilera
Moreno","Los Sports",1928-12-29,144,"Aguilera, Leopoldo",1336,"Moreno, Germán",,,,,,
