challenge_id,rec_Title,source,source_year,challenging_id,boxer_challenging,challenged_id,boxer_challenged,status,condition,basis,location_descp,city,location,weight
1227,Cepeda v. Lagos,Los Sports,1925-06-05,1225,"Cepeda, Luis",1226,"Lagos, Luis",,,conditions in the Centro Manuel Concha,Centro Manuel Concha,Santiago,POINT(-70.65045 -33.437776),1
1229,Martínez v. Pozo,Los Sports,1925-06-05,1228,"Martínez, Francisco",530,"Pozo, Carlos",,,,,Talcahuano,POINT(-73.116981 -36.724783),1
1230,Martínez v. Pinto,Los Sports,1925-06-05,1228,"Martínez, Francisco",232,"Pinto, Juan",,,,,Talcahuano,POINT(-73.116981 -36.724783),1
1233,Parisi v. Gomez,Los Sports,1926-04-02,738,"Parisi, Antonino",1232,"Gomez, Venerando",not accepted,,,,Santiago,POINT(-70.669265 -33.44889),1
1234,Parisi v. Cano,Los Sports,1926-04-02,738,"Parisi, Antonino",539,"Cano, Gustavo",not accepted,,,,Santiago,POINT(-70.669265 -33.44889),1
1242,Rojas v. Navarro,Los Sports,1927-01-07,1215,"Rojas, Froilan",1240,"Navarro, Jorge",,,Basis in Los Sports,,Santiago,POINT(-70.669265 -33.44889),1
1246,Vargas v. Arriagada,Los Sports,1927-01-07,1157,"Vargas, Julio",1245,"Arriagada, Edgardo",,,,,San Fernando,POINT(-70.909988 -34.582309),1
1251,Laverry v. Molina,Los Sports,1927-03-11,1249,"Laverry, Jim",1010,"Molina, Erasmo",,,,,Santiago,POINT(-70.64658 -33.472148),1
1252,Laverry v. Sánchez,Los Sports,1927-03-11,1249,"Laverry, Jim",1250,"Sánchez, Domingo",,,,,Santiago,POINT(-70.64658 -33.472148),1
1256,Vargas v. Cazzano,Los Sports,1927-05-20,178,"Vargas, Armando",1253,"Cazzano, Miguel",,,,,Santiago,POINT(-70.669265 -33.44889),1
1257,Lucero v. Lasseube,Los Sports,1927-05-20,1255,"Lucero, Luis",146,"Lasseube, Enrique",,,,,Santiago,POINT(-70.669265 -33.44889),1
1260,Vermar v. Ortiz,Los Sports,1927-09-02,1258,"Vermar, Raul",1259,"Ortiz, Clodomiro",,,,,,,1
1263,Soto v. Molina,Los Sports,1927-09-30,1262,"Soto, Gerardo",1261,"Molina, Alfredo",accepted,,,,Santiago,POINT(-70.669265 -33.44889),1
1265,Risso v. Tobar,Los Sports,1928-01-27,263,"Risso, Manuel",727,"Tobar, Marcos",,,,,San Antonio,POINT(-71.605512 -33.592281),1
1270,Paiva v. Cañas,Los Sports,1928-02-10,1267,"Paiva, Victor M.",1268,"Cañas, Jose",,,,,Santiago,POINT(-70.669265 -33.44889),1
1271,Paiva v. Pedraza,Los Sports,1928-02-10,1267,"Paiva, Victor M.",1269,"Pedraza, Domingo",,,,,Santiago,POINT(-70.669265 -33.44889),1
1272,Coll v. Cutiño,Los Sports,1928-02-17,1131,"Coll, Lorenzo",660,"Cutiño, Eduardo",,,,,,POINT(-70.669265 -33.44889),2
1273,Coll v. Vera,Los Sports,1928-02-17,1131,"Coll, Lorenzo",151,"Vera, Teobaldo",,,,,Santiago,POINT(-70.669265 -33.44889),1
1274,Coll v. Celis,Los Sports,1928-02-17,1131,"Coll, Lorenzo",1275,"Celis, Manuel",,,,,Santiago,POINT(-70.669265 -33.44889),1
1276,Parra v. Molina,Los Sports,1928-07-27,1012,"Parra, Routier",1261,"Molina, Alfredo",,,,,Santiago,POINT(-70.65045 -33.437776),1
1282,Galdames v. Castellon,Los Sports,1928-12-07,1279,"Galdames, Robinson",1283,"Castellon, M.",,,,,Santiago,POINT(-70.669265 -33.44889),1
1285,Duque v. Valdes,Los Sports,1925-07-10,1284,"Duque, Oscar",833,"Valdes, Mario",,,Chilean Boxing Federation,,Santiago,POINT(-70.65045 -33.437776),1
1287,Gonzalez v. Ibarra,Los Sports,1925-07-10,639,"Gonzalez, Johnston",935,"Ibarra, Carlos",Revenge,,,,Santiago,POINT(-70.65045 -33.437776),1
1291,Romero v. Muñoz,Los Sports,1925-07-10,1289,"Romero, Jose P.",1290,"Muñoz, Benjamin",,,,,,,1
1295,Nemesio v. Guzman,Los Sports,1925-07-10,1292,"Nemesio, Oscar",921,"Guzman, Humberto",,,,,Iquique,POINT(289.869073 -20.248795),1
1298,Manriquez v. Tellez,Los Sports,1925-07-31,1296,"Manriquez, Enrique",1297,Tellez,,,,,,,1
1302,Soto v. Sanguinetti,Los Sports,1925-07-31,1299,"Soto, Arturo",1301,"Sanguinetti, Enrique",,,,,San Fernando,POINT(289.011712 -34.585725),1
1303,Saavedra v. Férnandez,Los Sports,1925-08-07,1026,"Saavedra, Clemente",276,"Férnandez, Luis",,,,,Rancagua,POINT(289.258701 -34.16474),1
1309,Osorio v. Nuñez,Los Sports,1925-10-09,1304,"Osorio, Carlos",1310,"Nuñez, Rogelio",,,,,,,1
1311,Vargas v. Contreras,Los Sports,1925-08-14,178,"Vargas, Armando",62,"Contreras, Victor",,middleweight championship,,,,,1
1312,Ortega v. Muñoz,Los Sports,1925-08-14,244,"Ortega, Eliecer",1313,"Muñoz, Pablo",,,,,Santago,POINT(-70.65045 -33.437776),1
1317,Olguín v. Sedan,Los Sports,1925-11-27,647,"Olguín, Humberto",1314,"Sedan, Teofilo",,,,,,,1
1318,Molina v. Guzman,Los Sports,1925-11-27,1261,"Molina, Alfredo",921,"Guzman, Humberto",,,,,,,1
1319,Cutiño v. Uzabeaga,Los Sports,1923-05-25,660,"Cutiño, Eduardo",284,"Uzabeaga, Carlos",,,,,Valparaiso,POINT(-70.852975 -32.597609),1
