"Boxer H-ID",rec_Title
232,"Pinto, Juan"
738,"Parisi, Antonino"
1232,"Gomez, Venerando"
539,"Cano, Gustavo"
1240,"Navarro, Jorge"
1245,"Arriagada, Edgardo"
1249,"Laverry, Jim"
1250,"Sánchez, Domingo"
1253,"Cazzano, Miguel"
1255,"Lucero, Luis"
1258,"Vermar, Raul"
1259,"Ortiz, Clodomiro"
1262,"Soto, Gerardo"
1261,"Molina, Alfredo"
263,"Risso, Manuel"
727,"Tobar, Marcos"
1267,"Paiva, Victor M."
1268,"Cañas, Jose"
1269,"Pedraza, Domingo"
660,"Cutiño, Eduardo"
151,"Vera, Teobaldo"
1275,"Celis, Manuel"
1279,"Galdames, Robinson"
1283,"Castellon, Manuel"
1284,"Duque, Oscar"
1289,"Romero, Jose P."
1290,"Muñoz, Benjamin"
1292,"Nemesio, Oscar"
921,"Guzman, Humberto"
1296,"Manriquez, Enrique"
1297,Tellez
1299,"Soto, Arturo"
1301,"Sanguinetti, Enrique"
1304,"Osorio, Carlos"
1310,"Nuñez, Rogelio"
62,"Contreras, Victor"
244,"Ortega, Eliecer"
1313,"Muñoz, Pablo"
1314,"Sedan, Teofilo"
284,"Uzabeaga, Carlos"
1236,"Zamora, German"
1321,"Roberts, Charles"
1324,"Navarro, Alberto"
1328,"Calda, Victor"
1325,"Vergara, Eduardo"
1326,"Neira, Carlos"
188,"Román, Julio"
1332,"Murias, Emiliano"
594,"Mery, Augusto"
144,"Aguilera, Leopoldo"
1336,"Moreno, Germán"
835,"Carvajal, Julio"
836,"Baeza, Florencio"
842,"Huerta, Luis"
837,"Medalla, Luis"
890,"Mac-Conell, Roberto"
866,"Rios, Luis"
867,"Cifuentes, Alex"
872,"Farias, Gabriel"
875,"Valdes, Miguel"
839,"Lemus, Rosauro"
876,"Ortega, Oscar"
873,"Rojas, Gregorio"
886,"Barcelo, Oscar"
1352,"Rios, Manuel"
1351,"Aracena, Antonio"
889,"Fuentes, Francisco"
1355,"Mac-Conell, David"
826,"Badani, Faustino"
865,"Castillo, Ernesto"
1247,"Araya, Dionisio"
844,"Mendoza, Viterbo"
1367,"Parraguez, Armando"
1368,"Varas, Jose"
1369,"Gallardo, Humberto"
1370,"Madrid, Hector E."
190,"Bastías, Manuel"
1376,"Roman, Luis"
1377,"Leiva, Manuel"
1381,"Gallegos, Jose"
1382,"Malvine, L."
1386,"Reyes, Manuel"
1388,"Carrozo, Pedro"
1389,"Cabrera Rocco, Mario"
1392,"Aguayo, Oscar"
